Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.23615	MAP.23615.collection		carbon dioxide baited net trap	larval collection			1988-04/1990-05	Australia	GAZ	00000463	-12.2432	142.2811
MAP.25778	MAP.25778.collection		man biting				1992-04/1992-05	Papua New Guinea	GAZ	00003922	-6.088	145.387
MAP.16792	MAP.16792.collection		animal baited net trap	house resting inside	larval collection	outlet window trap	1991-03/1991-04	Sri Lanka	GAZ	00003924	6.734	81.1
MAP.16674	MAP.16674.collection		animal baited net trap	house resting inside	larval collection	outlet window trap	1991-07/1991-08	Sri Lanka	GAZ	00003924	6.841	80.088
MAP.4979	MAP.4979.collection		man biting indoors	animal shed resting			1985-07/1985-09	China	GAZ	00002845	35.316	116.498
MAP.24108	MAP.24108.collection						1992-04/1998-06	Papua New Guinea	GAZ	00003922	-7.8082	147.5847
MAP.23404	MAP.23404.collection		carbon dioxide baited net trap	larval collection			1988-04/1990-05	Australia	GAZ	00000463	-12.6875	130.9694
MAP.60656	MAP.60656.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1998-08/1998-08	Myanmar	GAZ	00006899	18.709	95.212
MAP.87	MAP.87.collection		larval collection	man biting indoors	man biting outdoors		2000-03/2000-03	Thailand	GAZ	00003744	14.2833	99.1833
MAP.1978	MAP.1978.collection		man biting outdoors	man biting indoors	animal baited net trap	house resting inside	1999-11/1999-11	Myanmar	GAZ	00006899	16.257	97.725
MAP.1990	MAP.1978.collection		man biting outdoors	man biting indoors	animal baited net trap	house resting inside	1999-11/1999-11	Myanmar	GAZ	00006899	16.257	97.725
MAP.2002	MAP.1978.collection		man biting outdoors	man biting indoors	animal baited net trap	house resting inside	1999-11/1999-11	Myanmar	GAZ	00006899	16.257	97.725
MAP.2014	MAP.1978.collection		man biting outdoors	man biting indoors	animal baited net trap	house resting inside	1999-11/1999-11	Myanmar	GAZ	00006899	16.257	97.725
MAP.2026	MAP.1978.collection		man biting outdoors	man biting indoors	animal baited net trap	house resting inside	1999-11/1999-11	Myanmar	GAZ	00006899	16.257	97.725
MAP.23891	MAP.23891.collection						1992-04/1998-06	Papua New Guinea	GAZ	00003922	-8.9653	146.9693
MAP.23892	MAP.23891.collection						1992-04/1998-06	Papua New Guinea	GAZ	00003922	-8.9653	146.9693
MAP.694	MAP.694.collection		man biting indoors	man biting outdoors	animal biting		1984-05/1984-05	Thailand	GAZ	00003744	6.6	100.4333
MAP.28026	MAP.28026.collection		animal biting					Philippines	GAZ	00004525	9.2395	117.9886
MAP.19480	MAP.19480.collection		man biting outdoors				1986-11/1986-11	Thailand	GAZ	00003744	8.65	98.85
MAP.60259	MAP.60259.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1999-05/1999-05	Myanmar	GAZ	00006899	25.5667	96.816
MAP.19567	MAP.19567.collection		carbon dioxide baited net trap				1997-09/1997-09	Australia	GAZ	00000463	-17.454	145.985
MAP.30842	MAP.30842.collection		house resting inside	animal shed resting	larval collection		1994-03/1994-08	Yemen	GAZ	00005284	14.333	43.299
MAP.61097	MAP.61097.collection						1988-12/1988-12	India	GAZ	00002839	22.786	72.996
MAP.16932	MAP.16932.collection		animal biting outdoors	man biting outdoors			1987-12/1987-12	Sri Lanka	GAZ	00003924	7.673	81.0177
MAP.17006	MAP.16932.collection		animal biting outdoors	man biting outdoors			1987-12/1987-12	Sri Lanka	GAZ	00003924	7.673	81.0177
MAP.22903	MAP.22903.collection		man biting outdoors				1995-08/1995-08	Papua New Guinea	GAZ	00003922	-3.566	142.683
MAP.21573	MAP.21573.collection		house resting inside	man biting indoors			1991-07/1991-08	India	GAZ	00002839	26.4497	89.9697
MAP.24418	MAP.24418.collection						1992-04/1998-06	Papua New Guinea	GAZ	00003922	-5.2507	145.633
MAP.24419	MAP.24418.collection						1992-04/1998-06	Papua New Guinea	GAZ	00003922	-5.2507	145.633
MAP.24420	MAP.24418.collection						1992-04/1998-06	Papua New Guinea	GAZ	00003922	-5.2507	145.633
MAP.23522	MAP.23522.collection		carbon dioxide baited net trap	larval collection			1988-04/1990-05	Australia	GAZ	00000463	-12.0757	133.5369
MAP.21142	MAP.21142.collection		carbon dioxide baited net trap	larval collection			1992-04/1992-05	Papua New Guinea	GAZ	00003922	-6.619	142.0901
MAP.21143	MAP.21142.collection		carbon dioxide baited net trap	larval collection			1992-04/1992-05	Papua New Guinea	GAZ	00003922	-6.619	142.0901
MAP.21144	MAP.21142.collection		carbon dioxide baited net trap	larval collection			1992-04/1992-05	Papua New Guinea	GAZ	00003922	-6.619	142.0901
MAP.21145	MAP.21142.collection		carbon dioxide baited net trap	larval collection			1992-04/1992-05	Papua New Guinea	GAZ	00003922	-6.619	142.0901
MAP.30591	MAP.30591.collection		house resting inside				2004-01/2004-01	India	GAZ	00002839	22.067	85.016
MAP.30598	MAP.30591.collection		house resting inside				2004-01/2004-01	India	GAZ	00002839	22.067	85.016
MAP.30605	MAP.30591.collection		house resting inside				2004-01/2004-01	India	GAZ	00002839	22.067	85.016
MAP.30612	MAP.30591.collection		house resting inside				2004-01/2004-01	India	GAZ	00002839	22.067	85.016
MAP.22852	MAP.22852.collection		man biting outdoors				1994-10/1994-10	Papua New Guinea	GAZ	00003922	-3.599	142.75
MAP.60680	MAP.60680.collection		animal shed resting	house resting inside	larval collection		1987-04/1987-04	India	GAZ	00002839	22.936	80.141
