				Country			IR_Test_Method		Mosquito_collection_Year_start								Locality	Latitude	Longitude		Vector_species				IR_Test_NumExposed						IR_Test_mortality		IR_Mechanism_Status	Kdr_frequency					Chemical_class		Resistance_status	R_code		
REF#	ORIG REF#	ORIG SOURCE	ORIG SOURCE REF	Country	Country code	Investigation type	Test                                           type	Insecticide tested	Year	Start month	End month	Province             1st admin level	District 2nd admin level	District Update	Commune 3rd admin level	Village or Locality (site) ORIG	Village or Locality UPDATED (Co-ordinates)	Latitude UTM_X UPDATE2	Longitude UTM_Y UPDATE2	GEOREF STATUS	Species tested	Stage tested (and origin)	Species used in controls	Number of replicates tested	Total mosquitoes in all test replicates	Number of replicates for control	Total mosquitoes in all controls	Time at which mortality recorded	Recorded average mortality in treatments (%)	Recorded average mortality in controls (%)	Calculated  average mortality adjusted for control  (%)	Resistance status Susceptible:(>=98%) Moderate:(90-98%) High:(<90%)	Mechanism status	Allelic frequency                   (%)	Institute that collected data	Data published in a journal?	Journal reference	Remarks (eg. deviations from standard procedures)	Chemical class, if standard dosage	UPDATED STATUS	Resistance status_IRMapper	Resistance code_IR Mapper	Count	Comments
6372	G9108		PMI752													Nkhata Bay 	Manica	-14.92805	43.66966						206						60.0%													
6373	G9109		PMI753													Nasawara Eggon	Wakiso	-16.01413	32.04406						428						84.3%													
6374	G8453		PMI754													Diebougou 	Bariadi	-2.18000	32.28444						3						20.0%													
6375	G8452		PMI755													ANTOETRA	Yanfoila	-17.63060	-5.75000						527						56.0%													
6376	G8455		PMI208													Manica	Careysburg	-13.68333	28.38176						7						18.7%													
6377	G8454		PMI209													Wakiso	Hurungwe 	13.49998	32.63337						247						4.2%													
10890	G8457		PMI206													Bariadi	Bungoma	0.53333	32.63330						302						70.4%													
8231	G8456		PMI207													BRICKAVILLE	Linguere	10.48460	29.34778						300						68.1%													
11947	G9100		PMI204													Matola 	Sakaraha	-2.83583	29.60430						301						11.0%													
11945	G9101		PMI205													IHOSY	Antsirabe 2	-11.60740	37.01600						119						89.2%													
11942	G9102		PMI970													Yanfoila	Shashemene	9.43094	39.75570						303						96.5%													
11940	G9103		PMI203													Careysburg	Mubare	-17.32900	28.17939						244						3.0%													
10896	G9104		PMI200													Hurungwe 	District #1	-3.17027	1.54222						108						97.9%													
14448	G9105		PMI201													Bungoma	Ambohidratrimo	-4.90000	29.89990						109						94.2%													
10894	G9106		PMI682													Nkhotakota 	Myooye	-6.81666	32.67083						242						87.5%													
8941	G9107		PMI683													Beitbridge	Abaya	-0.81931	36.78260						102						68.8%													
8940	G8679		PMI680													Linguere	Singida	-16.85000	35.79504						103						97.4%													
