				Country			IR_Test_Method		Mosquito_collection_Year_start								Locality	Latitude	Longitude		Vector_species				IR_Test_NumExposed						IR_Test_mortality		IR_Mechanism_Status	Kdr_frequency					Chemical_class		Resistance_status	R_code		
REF#	ORIG REF#	ORIG SOURCE	ORIG SOURCE REF	Country	Country code	Investigation type	Test                                           type	Insecticide tested	Year	Start month	End month	Province             1st admin level	District 2nd admin level	District Update	Commune 3rd admin level	Village or Locality (site) ORIG	Village or Locality UPDATED (Co-ordinates)	Latitude UTM_X UPDATE2	Longitude UTM_Y UPDATE2	GEOREF STATUS	Species tested	Stage tested (and origin)	Species used in controls	Number of replicates tested	Total mosquitoes in all test replicates	Number of replicates for control	Total mosquitoes in all controls	Time at which mortality recorded	Recorded average mortality in treatments (%)	Recorded average mortality in controls (%)	Calculated  average mortality adjusted for control  (%)	Resistance status Susceptible:(>=98%) Moderate:(90-98%) High:(<90%)	Mechanism status	Allelic frequency                   (%)	Institute that collected data	Data published in a journal?	Journal reference	Remarks (eg. deviations from standard procedures)	Chemical class, if standard dosage	UPDATED STATUS	Resistance status_IRMapper	Resistance code_IR Mapper	Count	Comments
10929	G9924		PMI2890																																									
10928	G9925		PMI2891																																									
9454	G9218		PMI2892																																									
9455	G9219		PMI2893																																									
9450	G9214		PMI1338																																									
9451	G9215		PMI1339																																									
9452	G9216		PMI1330																																									
9453	G9217		PMI1331																																									
959	G9210		PMI1332																																									
950	G9211		PMI1333																																									
952	G9212		PMI1334																																									
954	G9213		PMI1335																																									
956	G8635		PMI1336																																									
6028	G8634		PMI1337																																									
6029	G8637		PMI2670																																									
11724	G8636		PMI2671																																									
11725	G8631		PMI2672																																									
11722	G8630		PMI2674																																									
11723	G8633		PMI2675																																									
11720	G8632		PMI2676																																									
11721	G8639		PMI2677																																									
6026	G8638		PMI2679																																									
6027	G9320		PMI1503																																									
5160	G9321		PMI1502																																									
5161	G9322		PMI1501																																									
5162	G9323		PMI1024																																									
5163	G9324		PMI1025																																									
5165	G9325		PMI1026																																									
5167	G9326		PMI1027																																									
5169	G9327		PMI1020																																									
14441	G9328		PMI1021																																									
12165	G9329		PMI1022																																									
12164	G9858		PMI1023																																									
12167	G9859		PMI1507																																									
12166	G9182		PMI1028																																									
11274	G10903		PMI1029																																									
12169	G10902		PMI2160																																									
12168	G9458		PMI1506																																									
11989	G8513		PMI918																																									
15454	G10907		PMI919																																									
11981	G10906		PMI3075																																									
11986	G10905		PMI3074																																									
11984	G10904		PMI3077																																									
14698	G9452		PMI3076																																									
12095	G9453		PMI3071																																									
1144	G9450		PMI3070																																									
15457	G9451		PMI3073																																									
14565	G9456		PMI3072																																									
11859	G9457		PMI3079																																									
8909	G9454		PMI1509																																									
8908	G9455		PMI1508																																									
15459	G11139		PMI912																																									
8905	G9188		PMI913																																									
919	G9062		PMI3118																																									
8907	G11347		PMI3119																																									
8906	G10879		PMI3112																																									
8901	G10878		PMI3113																																									
8900	G10876		PMI3110																																									
8903	G10875		PMI3111																																									
918	G10873		PMI3116																																									
14350	G10872		PMI3117																																									
11183	G10871		PMI3114																																									
11180	G10870		PMI3115																																									
14353	G11341		PMI2418																																									
14354	G11339		PMI2419																																									
9548	G11338		PMI2534																																									
11184	G11333		PMI2410																																									
14358	G11332		PMI2411																																									
10995	G11331		PMI2412																																									
9549	G11330		PMI2415																																									
13688	G11337		PMI2416																																									
10843	G11336		PMI2417																																									
9544	G11335		PMI1465																																									
10845	G11334		PMI2235																																									
1069	G11197		PMI1680																																									
1068	G11196		PMI1681																																									
10846	G11195		PMI1682																																									
14571	G11194		PMI1683																																									
1061	G11193		PMI1684																																									
1060	G11192		PMI1685																																									
1063	G11190		PMI1686																																									
1062	G11199		PMI1687																																									
1065	G11198		PMI1688																																									
1067	G10118		PMI1689																																									
1066	G10119		PMI1463																																									
10848	G10114		PMI2304																																									
10849	G10115		PMI2087																																									
1087	G10116		PMI2306																																									
1086	G10117		PMI2307																																									
1085	G10110		PMI2300																																									
1084	G10111		PMI2301																																									
1083	G10112		PMI2302																																									
8239	G10113		PMI2086																																									
8238	G8958		PMI2308																																									
1089	G8959		PMI2085																																									
1088	G8950		PMI2084																																									
14578	G8951		PMI2083																																									
12091	G8952		PMI2285																																									
14598	G8953		PMI2082																																									
14595	G8954		PMI2081																																									
14592	G8955		PMI2080																																									
14593	G8956		PMI2284																																									
7638	G8957		PMI2249																																									
7639	G10068		PMI2248																																									
7632	G10069		PMI2241																																									
7633	G11047		PMI2240																																									
7630	G11046		PMI2243																																									
7631	G11041		PMI2242																																									
7636	G11040		PMI2245																																									
7637	G11043		PMI2244																																									
7634	G11042		PMI2247																																									
7635	G10060		PMI2246																																									
12090	G10061		PMI3061																																									
14478	G10062		PMI2287																																									
8699	G10063		PMI2088																																									
8698	G10064		PMI3007																																									
8695	G10065		PMI480																																									
8694	G10066		PMI481																																									
8697	G10067		PMI482																																									
8696	G10640		PMI483																																									
8691	G10644		PMI484																																									
8690	G9119		PMI485																																									
8121	G10647		PMI338																																									
8692	G10648		PMI339																																									
7702	G10649		PMI336																																									
5579	G9118		PMI337																																									
5578	G10244		PMI334																																									
5577	G10240		PMI335																																									
5576	G10241		PMI332																																									
5575	G10242		PMI333																																									
5574	G10243		PMI330																																									
5573	G8428		PMI331																																									
5572	G10249		PMI2286																																									
15681	G8429		PMI2281																																									
1243	G8888		PMI3001																																									
1245	G8889		PMI158																																									
1244	G10748		PMI159																																									
8349	G8882		PMI152																																									
8348	G8883		PMI153																																									
15658	G8886		PMI150																																									
15687	G8887		PMI151																																									
8343	G8884		PMI156																																									
8342	G8885		PMI157																																									
8341	G8408		PMI154																																									
8340	G8409		PMI155																																									
8347	G8406		PMI72																																									
8346	G8407		PMI73																																									
8345	G8404		PMI70																																									
8344	G8405		PMI71																																									
8710	G8402		PMI76																																									
13681	G8403		PMI77																																									
15659	G8400		PMI74																																									
14456	G8401		PMI75																																									
8954	G8763		PMI930																																									
15995	G8762		PMI931																																									
8955	G11045		PMI78																																									
15997	G10603		PMI79																																									
5951	G11168		PMI934																																									
5950	G11169		PMI935																																									
5953	G10488		PMI936																																									
5952	G10489		PMI937																																									
10844	G10486		PMI2280																																									
5954	G10487		PMI2936																																									
5957	G10484		PMI2935																																									
5956	G10485		PMI2790																																									
5959	G10482		PMI2933																																									
5958	G10483		PMI2932																																									
13760	G10480		PMI2931																																									
13761	G10481		PMI2930																																									
13762	G9049		PMI2939																																									
13763	G9048		PMI2938																																									
15993	G9045		PMI804																																									
12099	G9044		PMI805																																									
14454	G9047		PMI806																																									
12198	G9046		PMI807																																									
8958	G9041		PMI800																																									
12190	G9040		PMI801																																									
12191	G9043		PMI802																																									
12192	G9042		PMI803																																									
8959	G8538		PMI808																																									
12194	G8769		PMI809																																									
12195	G8532		PMI1239																																									
12196	G8533		PMI1238																																									
12197	G8530		PMI1231																																									
12098	G8531		PMI1230																																									
12193	G8536		PMI1233																																									
6109	G11160		PMI1232																																									
6108	G8534		PMI1235																																									
15655	G9917		PMI1234																																									
6103	G9916		PMI1237																																									
6102	G9915		PMI1236																																									
6101	G9914		PMI1305																																									
6100	G9913		PMI1304																																									
14568	G9912		PMI1307																																									
10934	G9911		PMI1306																																									
10935	G9910		PMI1301																																									
10937	G11049		PMI1300																																									
10930	G9919		PMI1303																																									
10931	G9918		PMI1302																																									
10932	G9131		PMI1309																																									
10933	G9130		PMI1308																																									
14452	G9133		PMI1217																																									
9449	G9132		PMI1216																																									
9448	G9135		PMI820																																									
9447	G9134		PMI1214																																									
9446	G9137		PMI2649																																									
9445	G9136		PMI2648																																									
9444	G9139		PMI2645																																									
9443	G9138		PMI1213																																									
9442	G9269		PMI2647																																									
9441	G9268		PMI2646																																									
9440	G9599		PMI2641																																									
14451	G9598		PMI3008																																									
13578	G9261		PMI2643																																									
948	G9260		PMI1212																																									
949	G9263		PMI824																																									
946	G9262		PMI825																																									
947	G9597		PMI2289																																									
944	G9596		PMI1011																																									
945	G9595		PMI1010																																									
942	G9266		PMI1013																																									
943	G8626		PMI1012																																									
13573	G8627		PMI1015																																									
11712	G8624		PMI1014																																									
6039	G8625		PMI1017																																									
6038	G8622		PMI1016																																									
11717	G8623		PMI1019																																									
11716	G8620		PMI1018																																									
11715	G8621		PMI1778																																									
11714	G8628		PMI1841																																									
6033	G8629		PMI1779																																									
6032	G9863		PMI1673																																									
6031	G9862		PMI3062																																									
6030	G9861		PMI3063																																									
6037	G9860		PMI3060																																									
6036	G9867		PMI1672																																									
6035	G9866		PMI3066																																									
6034	G9689		PMI3067																																									
5173	G9688		PMI3064																																									
5170	G9687		PMI3065																																									
5177	G9686		PMI2128																																									
15423	G9685		PMI3068																																									
5175	G9684		PMI3069																																									
5178	G9683		PMI2129																																									
6455	G9682		PMI2799																																									
13388	G9681		PMI2798																																									
6454	G9680		PMI2283																																									
12177	G9467		PMI2793																																									
12174	G9466		PMI2792																																									
12172	G9465		PMI2791																																									
12173	G9464		PMI2282																																									
12170	G9463		PMI2797																																									
12171	G9462		PMI2796																																									
12178	G9461		PMI2795																																									
12179	G9460		PMI2794																																									
13389	G9469		PMI1679																																									
14707	G9468		PMI1678																																									
14502	G9665		PMI1772																																									
14703	G9664		PMI2420																																									
8978	G9667		PMI356																																									
8979	G9666		PMI1773																																									
13397	G9661		PMI2120																																									
13396	G9660		PMI251																																									
8970	G9663		PMI2121																																									
8971	G9662		PMI2425																																									
8972	G9669		PMI2424																																									
8973	G9668		PMI2427																																									
8974	G9966		PMI2426																																									
8975	G10808		PMI2421																																									
8976	G10809		PMI2122																																									
6463	G9967		PMI2423																																									
9542	G10802		PMI2422																																									
14509	G10803		PMI2123																																									
11028	G10800		PMI2429																																									
11883	G10806		PMI2428																																									
11881	G9964		PMI2291																																									
11887	G10804		PMI250																																									
11886	G10805		PMI2465																																									
11885	G9965		PMI1839																																									
11884	G9962		PMI1838																																									
14615	G9963		PMI1837																																									
11889	G9960		PMI1836																																									
11888	G9961		PMI1835																																									
14705	G11129		PMI1834																																									
14610	G9804		PMI1833																																									
14612	G10109		PMI1832																																									
9543	G10108		PMI1831																																									
7625	G10103		PMI1830																																									
7624	G10102		PMI2331																																									
7627	G10101		PMI2330																																									
7626	G10100		PMI2333																																									
11083	G10107		PMI2332																																									
11082	G10106		PMI2335																																									
11081	G10105		PMI2334																																									
11080	G10104		PMI2337																																									
7629	G11294		PMI2336																																									
7628	G11295		PMI2339																																									
11085	G11296		PMI2338																																									
11084	G11297		PMI3010																																									
14458	G11290		PMI2165																																									
14706	G11291		PMI2009																																									
14356	G11292		PMI352																																									
13709	G9484		PMI765																																									
6413	G11298		PMI2545																																									
13696	G11299		PMI940																																									
8118	G9482		PMI943																																									
8119	G10555		PMI1789																																									
8112	G10077		PMI1788																																									
8113	G10076		PMI2254																																									
8110	G10075		PMI942																																									
8111	G10074		PMI2252																																									
8116	G10073		PMI2253																																									
8117	G10072		PMI2250																																									
8114	G10071		PMI353																																									
8115	G10070		PMI1781																																									
14434	G10079		PMI761																																									
14436	G10078		PMI1783																																									
11151	G11070		PMI1782																																									
11150	G11071		PMI1785																																									
14432	G11072		PMI1784																																									
5540	G11073		PMI1787																																									
5541	G11074		PMI760																																									
14438	G11075		PMI763																																									
11817	G11076		PMI762																																									
8594	G11077		PMI329																																									
8595	G11078		PMI328																																									
8592	G11079		PMI499																																									
8593	G9646		PMI498																																									
8590	G10659		PMI325																																									
8591	G10655		PMI324																																									
8376	G10654		PMI327																																									
8377	G10653		PMI326																																									
8374	G10652		PMI321																																									
8375	G10651		PMI320																																									
8372	G10650		PMI323																																									
8373	G10253		PMI322																																									
8370	G10251		PMI2066																																									
8371	G10250		PMI1657																																									
8378	G10255		PMI1656																																									
8379	G10254		PMI1655																																									
8574	G8439		PMI1654																																									
8575	G8438		PMI1653																																									
8576	G8432		PMI1652																																									
8577	G8431		PMI1651																																									
8570	G8430		PMI1650																																									
8571	G8437		PMI1659																																									
8572	G8436		PMI1658																																									
8573	G8435		PMI927																																									
8578	G8434		PMI148																																									
8579	G11255		PMI925																																									
15648	G8983		PMI924																																									
13575	G8982		PMI923																																									
13574	G8981		PMI922																																									
15800	G8980		PMI921																																									
13577	G8987		PMI920																																									
13576	G8986		PMI141																																									
16059	G8985		PMI140																																									
16055	G8984		PMI143																																									
16057	G10495		PMI142																																									
16051	G10494		PMI145																																									
16053	G8989		PMI144																																									
11209	G8988		PMI147																																									
11527	G10491		PMI928																																									
11208	G10490		PMI1538																																									
11528	G10493		PMI1539																																									
13719	G10492		PMI49																																									
13718	G8507		PMI48																																									
16115	G8506		PMI47																																									
13711	G8505		PMI46																																									
13710	G8504		PMI45																																									
13713	G8503		PMI44																																									
13712	G11058		PMI43																																									
13715	G9058		PMI42																																									
13714	G9059		PMI41																																									
13717	G9056		PMI40																																									
11565	G9057		PMI2924																																									
11710	G9054		PMI2925																																									
15645	G9055		PMI2926																																									
11719	G9052		PMI2927																																									
16117	G9053		PMI2920																																									
13624	G9050		PMI2921																																									
6138	G9051		PMI2922																																									
6139	G11161		PMI2923																																									
13621	G9900		PMI2928																																									
13620	G9901		PMI2929																																									
13623	G9902		PMI1226																																									
13622	G9903		PMI1227																																									
6132	G9904		PMI1224																																									
6133	G9905		PMI1225																																									
6130	G9906		PMI1222																																									
6131	G9907		PMI1223																																									
6136	G9908		PMI1220																																									
6137	G9909		PMI1221																																									
6134	G9122		PMI819																																									
6135	G9123		PMI818																																									
10948	G9120		PMI1228																																									
14704	G9121		PMI1229																																									
10940	G9126		PMI2660																																									
10942	G9127		PMI2167																																									
10944	G9124		PMI2666																																									
10946	G9125		PMI1312																																									
9478	G8512		PMI1313																																									
9479	G9128		PMI1310																																									
14701	G9129		PMI1311																																									
9472	G9278		PMI1316																																									
9473	G9279		PMI1317																																									
14700	G9272		PMI1314																																									
9476	G9273		PMI1315																																									
9477	G9270		PMI1318																																									
9474	G9271		PMI1319																																									
9475	G9276		PMI2195																																									
15654	G9277		PMI2194																																									
6006	G9274		PMI2658																																									
6007	G9275		PMI2581																																									
6004	G8613		PMI2652																																									
6005	G8612		PMI2653																																									
6002	G8611		PMI2650																																									
6003	G8610		PMI300																																									
6000	G8617		PMI2656																																									
6001	G8616		PMI2657																																									
13566	G8615		PMI2654																																									
11857	G8614		PMI2655																																									
13564	G8619		PMI2199																																									
6008	G8618		PMI2198																																									
6009	G9698		PMI1008																																									
11708	G9699		PMI1009																																									
15650	G9878		PMI1006																																									
11704	G9879		PMI1007																																									
11706	G9690		PMI1004																																									
15651	G9691		PMI1005																																									
997	G9692		PMI1002																																									
996	G9693		PMI1003																																									
5149	G9694		PMI1000																																									
5147	G9695		PMI1001																																									
5145	G9696		PMI3099																																									
999	G9697		PMI3098																																									
5143	G9470		PMI3097																																									
5141	G9471		PMI3096																																									
120	G9472		PMI3095																																									
121	G9473		PMI3094																																									
122	G9474		PMI3093																																									
123	G9475		PMI3092																																									
124	G9476		PMI3091																																									
125	G9477		PMI3090																																									
126	G9478		PMI2788																																									
127	G9479		PMI2789																																									
8987	G10557		PMI2780																																									
12143	G10726		PMI2782																																									
12141	G9676		PMI2783																																									
8986	G9677		PMI2784																																									
12145	G9674		PMI2785																																									
12144	G9675		PMI2786																																									
12148	G9672		PMI2787																																									
13496	G9673		PMI3019																																									
13494	G9670		PMI2432																																									
13495	G9671		PMI2433																																									
13508	G9678		PMI2430																																									
5098	G9679		PMI2431																																									
5099	G9584		PMI2436																																									
13691	G9585		PMI3018																																									
5090	G9586		PMI2434																																									
5091	G9587		PMI2435																																									
5092	G9580		PMI2438																																									
5093	G9581		PMI2439																																									
5094	G9582		PMI2644																																									
5095	G9583		PMI1245																																									
5096	G9588		PMI1828																																									
5097	G9589		PMI1829																																									
13386	G11036		PMI1826																																									
8969	G11037		PMI1827																																									
8968	G10818		PMI2328																																									
13382	G10811		PMI2329																																									
8963	G10810		PMI2326																																									
8962	G10813		PMI2327																																									
8961	G10812		PMI2324																																									
8960	G8518		PMI2325																																									
8967	G10817		PMI2322																																									
8966	G10816		PMI2323																																									
8965	G10827		PMI2320																																									
8964	G11038		PMI2321																																									
15886	G10036		PMI1796																																									
15884	G9816		PMI1797																																									
15882	G10550		PMI1794																																									
15880	G9817		PMI1795																																									
15888	G11283		PMI1792																																									
11898	G11282		PMI1793																																									
11899	G11281		PMI1790																																									
14608	G11280		PMI1483																																									
11894	G11287		PMI1798																																									
11895	G11286		PMI1430																																									
11896	G11285		PMI2223																																									
11897	G11284		PMI2222																																									
11890	G11289		PMI2221																																									
11891	G11288		PMI2220																																									
11892	G10392		PMI2227																																									
11893	G10393		PMI2226																																									
6495	G10390		PMI2225																																									
11097	G10391		PMI2224																																									
11090	G10396		PMI2229																																									
11092	G10397		PMI2228																																									
11099	G10394		PMI2256																																									
7650	G10395		PMI2257																																									
7651	G10398		PMI1485																																									
7652	G10399		PMI2255																																									
7653	G10002		PMI2159																																									
7654	G10003		PMI2158																																									
7655	G10000		PMI318																																									
7656	G10001		PMI319																																									
7657	G10006		PMI310																																									
7658	G10007		PMI311																																									
7659	G10004		PMI312																																									
15647	G10005		PMI313																																									
15646	G10008		PMI314																																									
15641	G10009		PMI315																																									
15640	G11069		PMI316																																									
15643	G10551		PMI317																																									
15642	G11067		PMI1780																																									
12176	G11066		PMI2157																																									
5430	G11065		PMI1644																																									
5431	G11064		PMI1645																																									
11874	G11062		PMI1646																																									
15815	G11061		PMI1647																																									
8107	G11060		PMI798																																									
8106	G8768		PMI799																																									
8109	G10628		PMI1642																																									
8108	G10629		PMI1643																																									
1169	G10622		PMI794																																									
15469	G10623		PMI795																																									
6488	G10621		PMI796																																									
6489	G10624		PMI797																																									
6482	G10625		PMI790																																									
6483	G10615		PMI791																																									
6480	G10718		PMI792																																									
6481	G10719		PMI793																																									
6486	G10714		PMI2258																																									
6487	G10715		PMI558																																									
6484	G10713		PMI559																																									
6485	G10710		PMI556																																									
11146	G10536		PMI557																																									
11147	G10537		PMI554																																									
11144	G10534		PMI555																																									
11145	G10535		PMI552																																									
11142	G10532		PMI553																																									
11143	G10533		PMI550																																									
11140	G10530		PMI551																																									
11141	G10531		PMI776																																									
13741	G10538		PMI953																																									
11148	G10539		PMI950																																									
11149	G10728		PMI951																																									
8589	G8998		PMI956																																									
8588	G8999		PMI957																																									
8581	G8994		PMI954																																									
8580	G8995		PMI955																																									
8583	G8996		PMI958																																									
8582	G8997		PMI959																																									
8585	G8990		PMI778																																									
8584	G8991		PMI779																																									
8587	G8992		PMI58																																									
8586	G8993		PMI59																																									
8361	G8510		PMI50																																									
8360	G8511		PMI51																																									
8363	G9069		PMI52																																									
8362	G9068		PMI53																																									
8365	G8514		PMI54																																									
8364	G8515		PMI55																																									
8367	G8516		PMI56																																									
8366	G8517		PMI57																																									
8369	G9063		PMI2911																																									
8368	G8519		PMI2910																																									
8567	G9061		PMI2913																																									
8566	G9060		PMI2912																																									
8565	G9067		PMI2915																																									
8564	G9066		PMI2914																																									
8563	G9065		PMI2917																																									
8562	G9064		PMI2916																																									
8561	G10720		PMI2919																																									
8560	G8424		PMI2918																																									
5889	G8425		PMI1253																																									
5888	G8426		PMI1252																																									
8569	G8427		PMI1251																																									
8568	G8420		PMI1250																																									
16011	G8421		PMI1257																																									
15471	G8422		PMI1256																																									
16013	G8423		PMI1255																																									
10869	G9117		PMI1254																																									
7473	G9116		PMI1259																																									
14412	G9115		PMI1258																																									
16047	G9114		PMI1495																																									
16045	G9113		PMI1494																																									
16043	G9112		PMI1497																																									
16041	G9111		PMI1496																																									
16019	G9110		PMI1491																																									
11559	G9346		PMI1490																																									
15456	G9611		PMI1493																																									
14416	G9612		PMI1492																																									
13708	G9613		PMI1499																																									
10847	G8608		PMI1498																																									
13702	G8609		PMI174																																									
13703	G8604		PMI175																																									
13700	G8605		PMI177																																									
13701	G8606		PMI171																																									
13704	G8607		PMI172																																									
13705	G8600		PMI178																																									
7500	G8601		PMI179																																									
7509	G8602		PMI2480																																									
14418	G9615		PMI497																																									
11264	G9616		PMI1079																																									
6125	G9617		PMI1078																																									
6124	G9593		PMI496																																									
6127	G11103		PMI1073																																									
6126	G9592		PMI1072																																									
6121	G9801		PMI1071																																									
6120	G9800		PMI1070																																									
6123	G9803		PMI1077																																									
6122	G9802		PMI1076																																									
6129	G9805		PMI1075																																									
6128	G9591		PMI1074																																									
13636	G9807		PMI2563																																									
1111	G9806		PMI494																																									
13634	G9590		PMI493																																									
13635	G9489		PMI492																																									
13632	G9488		PMI3088																																									
13633	G9485		PMI491																																									
13630	G9265		PMI3084																																									
1110	G9487		PMI3085																																									
1113	G9486		PMI3086																																									
13638	G9481		PMI490																																									
10958	G9480		PMI3080																																									
1112	G9483		PMI3081																																									
10952	G9264		PMI3082																																									
1115	G9643		PMI3083																																									
10950	G9642		PMI1107																																									
10956	G9641		PMI1106																																									
10954	G9640		PMI1105																																									
1114	G9647		PMI1104																																									
1117	G9267		PMI1103																																									
1116	G9645		PMI1102																																									
6011	G9644		PMI1101																																									
6010	G9649		PMI1100																																									
6013	G9648		PMI1109																																									
6012	G10043		PMI1108																																									
6015	G9247		PMI2681																																									
6014	G9246		PMI2680																																									
6017	G9245		PMI2683																																									
6016	G9244		PMI2682																																									
6019	G9243		PMI2685																																									
6018	G9242		PMI2684																																									
13551	G9241		PMI2687																																									
13550	G9240		PMI2686																																									
13556	G9249		PMI2689																																									
11779	G9248		PMI2688																																									
11778	G11200		PMI2867																																									
11771	G10824		PMI1811																																									
11773	G10825		PMI1810																																									
11775	G10826		PMI1813																																									
11777	G10665		PMI1812																																									
5158	G10820		PMI2359																																									
988	G10821		PMI2353																																									
989	G10822		PMI2352																																									
5150	G10823		PMI2351																																									
5153	G10828		PMI2350																																									
986	G10829		PMI2357																																									
987	G8459		PMI2356																																									
5157	G10504		PMI2355																																									
115	G9614		PMI2354																																									
114	G10669		PMI2021																																									
117			PMI2023																																									
116			PMI2022																																									
111			PMI2025																																									
110			PMI2024																																									
113			PMI2230																																									
112			PMI2231																																									
5660			PMI2232																																									
119			PMI2233																																									
118			PMI2234																																									
11607			PMI2027																																									
9461			PMI2237																																									
9460			PMI2238																																									
9462			PMI2239																																									
12154			PMI2026																																									
11670			PMI1671																																									
11609			PMI1670																																									
12152			PMI789																																									
11950			PMI788																																									
12038			PMI1675																																									
8956			PMI1674																																									
8957			PMI1677																																									
5089			PMI1676																																									
5088			PMI783																																									
8952			PMI782																																									
8953			PMI781																																									
8950			PMI780																																									
8951			PMI787																																									
5083			PMI786																																									
5082			PMI785																																									
5081			PMI784																																									
5080			PMI549																																									
5087			PMI548																																									
5086			PMI545																																									
5085			PMI544																																									
5084			PMI547																																									
5736			PMI546																																									
11672			PMI541																																									
8977			PMI540																																									
15890			PMI543																																									
15892			PMI542																																									
14388			PMI941																																									
15894			PMI764																																									
15896			PMI767																																									
14382			PMI766																																									
14381			PMI945																																									
14386			PMI944																																									
14384			PMI947																																									
14638			PMI926																																									
14632			PMI949																																									
2566			PMI948																																									
14635			PMI769																																									
5739			PMI768																																									
5738			PMI2569																																									
11872			PMI888																																									
7643			PMI889																																									
7642			PMI307																																									
7641			PMI306																																									
7640			PMI305																																									
7647			PMI304																																									
7646			PMI303																																									
7645			PMI302																																									
7644			PMI301																																									
15656			PMI885																																									
15657			PMI309																																									
7649			PMI308																																									
7648			PMI2908																																									
15652			PMI2909																																									
15653			PMI2906																																									
14709			PMI2907																																									
14708			PMI2904																																									
13651			PMI2905																																									
5429			PMI2902																																									
1188			PMI2903																																									
1186			PMI2900																																									
