Sample Name	Assay Name	Description	Protocol REF	Performer	Date	Characteristics [species assay result (VBcv:0000961)]	Term Source Ref	Term Accession Number
PMI261	PMI.species.PMI261		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI262	PMI.species.PMI262		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI263	PMI.species.PMI263		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI264	PMI.species.PMI264		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI265	PMI.species.PMI265		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI266	PMI.species.PMI266		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI267	PMI.species.PMI267		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI268	PMI.species.PMI268		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI269	PMI.species.PMI269		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI270	PMI.species.PMI270		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI271	PMI.species.PMI271		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI272	PMI.species.PMI272		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI273	PMI.species.PMI273		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI274	PMI.species.PMI274		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI275	PMI.species.PMI275		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI276	PMI.species.PMI276		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI277	PMI.species.PMI277		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI278	PMI.species.PMI278		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI279	PMI.species.PMI279		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI280	PMI.species.PMI280		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI281	PMI.species.PMI281		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI282	PMI.species.PMI282		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI283	PMI.species.PMI283		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI284	PMI.species.PMI284		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI285	PMI.species.PMI285		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI286	PMI.species.PMI286		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI287	PMI.species.PMI287		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI288	PMI.species.PMI288		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI289	PMI.species.PMI289		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI290	PMI.species.PMI290		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI291	PMI.species.PMI291		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI292	PMI.species.PMI292		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI293	PMI.species.PMI293		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI294	PMI.species.PMI294		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI295	PMI.species.PMI295		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI296	PMI.species.PMI296		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI297	PMI.species.PMI297		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI298	PMI.species.PMI298		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI299	PMI.species.PMI299		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI300	PMI.species.PMI300		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI301	PMI.species.PMI301		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI302	PMI.species.PMI302		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
