Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.7137	MAP.7137.collection		man biting indoors				1988-01/1988-01	Kenya	GAZ	00001101	-0.1138	34.404
MAP.9441	MAP.9441.collection		house resting inside				1993-08/1993-08	Mali	GAZ	00000584	12.8	-8.034
MAP.5804	MAP.5804.collection		man biting indoors	house resting inside			2000-06/2000-06	Nigeria	GAZ	00000912	6.45	3.4
MAP.5817	MAP.5804.collection		man biting indoors	house resting inside			2000-06/2000-06	Nigeria	GAZ	00000912	6.45	3.4
MAP.5830	MAP.5804.collection		man biting indoors	house resting inside			2000-06/2000-06	Nigeria	GAZ	00000912	6.45	3.4
MAP.5843	MAP.5804.collection		man biting indoors	house resting inside			2000-06/2000-06	Nigeria	GAZ	00000912	6.45	3.4
MAP.3424	MAP.3424.collection		house resting inside				1997-06/1998-05	Kenya	GAZ	00001101	-4.1553	39.4541
MAP.3425	MAP.3424.collection		house resting inside				1997-06/1998-05	Kenya	GAZ	00001101	-4.1553	39.4541
MAP.3426	MAP.3424.collection		house resting inside				1997-06/1998-05	Kenya	GAZ	00001101	-4.1553	39.4541
MAP.3427	MAP.3424.collection		house resting inside				1997-06/1998-05	Kenya	GAZ	00001101	-4.1553	39.4541
MAP.8965	MAP.3424.collection		house resting inside				1997-06/1998-05	Kenya	GAZ	00001101	-4.1553	39.4541
MAP.3451	MAP.3451.collection		indoor light trap	house resting inside	outside shelter artificial		1989-01/1989-03	Tanzania	GAZ	00001103	-5.247	38.822
MAP.8228	MAP.8228.collection		human baited net trap				1994-05/1994-07	Kenya	GAZ	00001101	-0.183	34.383
MAP.29409	MAP.29409.collection		house resting inside					Benin	GAZ	00000904	6.466	2.416
MAP.29410	MAP.29409.collection		house resting inside					Benin	GAZ	00000904	6.466	2.416
MAP.31859	MAP.31859.collection		house resting inside				1999-10/1999-12	South Africa	GAZ	00001094	-26.878	32.245
MAP.3945	MAP.3945.collection		man biting indoors	man biting outdoors			1991-10/1991-10	Senegal	GAZ	00000913	13.716	-16.418
MAP.3420	MAP.3420.collection		house resting inside				1997-06/1998-05	Kenya	GAZ	00001101	-4.183	39.499
MAP.3421	MAP.3420.collection		house resting inside				1997-06/1998-05	Kenya	GAZ	00001101	-4.183	39.499
MAP.3422	MAP.3420.collection		house resting inside				1997-06/1998-05	Kenya	GAZ	00001101	-4.183	39.499
MAP.3423	MAP.3420.collection		house resting inside				1997-06/1998-05	Kenya	GAZ	00001101	-4.183	39.499
MAP.8963	MAP.3420.collection		house resting inside				1997-06/1998-05	Kenya	GAZ	00001101	-4.183	39.499
MAP.35394	MAP.35394.collection		larval collection				1997-00/1997-00	Nigeria	GAZ	00000912	11.3	7.45
MAP.45854	MAP.45854.collection		house resting inside	man biting			2006-05/2006-05	Cameroon	GAZ	00001093	9.115	13.675
MAP.45856	MAP.45854.collection		house resting inside	man biting			2006-05/2006-05	Cameroon	GAZ	00001093	9.115	13.675
MAP.45858	MAP.45854.collection		house resting inside	man biting			2006-05/2006-05	Cameroon	GAZ	00001093	9.115	13.675
MAP.52971	MAP.52971.collection		house resting inside	man biting indoors	man biting outdoors		1991-08/1991-08	Sudan	GAZ	00000560	15.562	32.567
MAP.53026	MAP.53026.collection		house resting inside	larval collection	man biting indoors	man biting outdoors	1991-11/1992-09	Malawi	GAZ	00001105	-13.434	33.565
MAP.53027	MAP.53026.collection		house resting inside	larval collection	man biting indoors	man biting outdoors	1991-11/1992-09	Malawi	GAZ	00001105	-13.434	33.565
MAP.64555	MAP.64555.collection		house resting inside				1997-06/1998-06	Kenya	GAZ	00001101	-0.5995	34.2521
MAP.64559	MAP.64555.collection		house resting inside				1997-06/1998-06	Kenya	GAZ	00001101	-0.5995	34.2521
MAP.64563	MAP.64555.collection		house resting inside				1997-06/1998-06	Kenya	GAZ	00001101	-0.5995	34.2521
MAP.10340	MAP.10340.collection		house resting inside	outlet window trap			1987-10/1987-10	Gambia	GAZ	00000907	13.583	-15.716
MAP.32247	MAP.32247.collection						1998-08/1998-08	Côte d'Ivoire	GAZ	00000906	7	-8.03
MAP.45796	MAP.45796.collection		larval collection				2005-08/2006-01	Sudan	GAZ	00000560	15.16	33.126
MAP.4940	MAP.4940.collection		larval collection	indoor light trap	house resting inside	man biting	2000-10/2000-10	Ethiopia	GAZ	00000567	14.233	38.25
MAP.45510	MAP.45510.collection		human baited net trap	house resting inside			2004-04/2004-04	Cameroon	GAZ	00001093	3.816	11.483
MAP.3077	MAP.3077.collection		man biting indoors				1990-12/1990-12	Cameroon	GAZ	00001093	4.131	11.033
MAP.3104	MAP.3077.collection		man biting indoors				1990-12/1990-12	Cameroon	GAZ	00001093	4.131	11.033
MAP.3131	MAP.3077.collection		man biting indoors				1990-12/1990-12	Cameroon	GAZ	00001093	4.131	11.033
MAP.62644	MAP.62644.collection		house resting inside	indoor light trap			1996-03/1996-03	Tanzania	GAZ	00001103	-5.0888	38.4722
MAP.30021	MAP.30021.collection		man biting indoors	man biting outdoors			2001-06/2001-06	Uganda	GAZ	00001102	0.7696	34.0261
MAP.30032	MAP.30021.collection		man biting indoors	man biting outdoors			2001-06/2001-06	Uganda	GAZ	00001102	0.7696	34.0261
MAP.30043	MAP.30021.collection		man biting indoors	man biting outdoors			2001-06/2001-06	Uganda	GAZ	00001102	0.7696	34.0261
