Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.14996	MAP.14996.collection		man biting outdoors	man biting indoors			1994-05/1994-05	Belize	GAZ	00002934	17.883	-88.311
MAP.14028	MAP.14028.collection							Brazil	GAZ	00002828	-8.76	-63.91
MAP.15723	MAP.15723.collection		light trap	animal baited net trap	man biting	animal shed resting	1987-07/1988-10	Dominican Republic	GAZ	00003952	19.548	-71.706
MAP.15402	MAP.15402.collection		larval collection				1989-07/1989-07	Venezuala	GAZ	00002931	8.23	-72.3331
MAP.64151	MAP.64151.collection		carbon dioxide baited net trap				2002-12/2002-12	Argentina	GAZ	00002928	-23.1	-64.5
MAP.29503	MAP.29503.collection		larval collection	man biting indoors			1990-01/1998-12	French Guiana	GAZ	00067144	4.884	-52.302
MAP.29506	MAP.29503.collection		larval collection	man biting indoors			1990-01/1998-12	French Guiana	GAZ	00067144	4.884	-52.302
MAP.14006	MAP.14006.collection		man biting outdoors				1995-10/1995-10	Brazil	GAZ	00002828	-8.8167	-63.9
MAP.14267	MAP.14267.collection		larval collection	resting outdoors	animal shed resting		1995-08/1995-08	United States of America	GAZ	00002459	29.569	-82.375
MAP.14412	MAP.14267.collection		larval collection	resting outdoors	animal shed resting		1995-08/1995-08	United States of America	GAZ	00002459	29.569	-82.375
MAP.14467	MAP.14467.collection		larval collection	resting outdoors	animal shed resting		1989-09/1989-09	United States of America	GAZ	00002459	30.753	-86.626
MAP.13574	MAP.13574.collection		man biting indoors	man biting outdoors			1990-02/1990-08	Brazil	GAZ	00002828	0.884	-52.034
MAP.13576	MAP.13574.collection		man biting indoors	man biting outdoors			1990-02/1990-08	Brazil	GAZ	00002828	0.884	-52.034
MAP.13578	MAP.13574.collection		man biting indoors	man biting outdoors			1990-02/1990-08	Brazil	GAZ	00002828	0.884	-52.034
MAP.13575	MAP.13575.collection		man biting indoors	man biting outdoors			1991-04/1991-09	Brazil	GAZ	00002828	0.884	-52.034
