id	latitude	longitude	country id	species	year start	year end	month start	month end	id method1	id method2	sample method1	sample method2	sample method3	sample method4	ASSI	citation
5122	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1983	1983	9	9	not applicable		man biting outdoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5123	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1983	1983	10	10	not applicable		man biting outdoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5124	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1983	1983	12	12	not applicable		man biting outdoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5125	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1984	1984	2	2	not applicable		man biting outdoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5126	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1984	1984	3	3	not applicable		man biting outdoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5127	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1984	1984	5	5	not applicable		man biting outdoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5128	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1984	1984	7	7	not applicable		man biting indoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5129	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1984	1984	8	8	not applicable		man biting indoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5130	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1984	1984	9	9	not applicable		man biting indoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5131	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1984	1984	10	10	not applicable		man biting indoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5132	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1984	1984	11	11	not applicable		man biting indoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5133	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1984	1984	12	12	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5134	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1985	1985	2	2	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5135	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1985	1985	3	3	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5136	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1985	1985	4	4	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5137	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1985	1985	6	6	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5138	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1985	1985	7	7	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5139	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1985	1985	8	8	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5140	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1985	1985	9	9	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5141	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1985	1985	10	10	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5142	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1985	1985	11	11	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5143	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1985	1985	12	12	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5144	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1986	1986	1	1	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5145	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1986	1986	2	2	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5146	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1986	1986	3	3	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5147	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1986	1986	4	4	not applicable		outlet window trap					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
